CLASS,CLASS_CODE,COMM_CODE,NAME,SECTOR,SRG,COMM_STRUCTURE,GLOBALID,GLOBALID_GUID,CREATED_DT,MODIFIED_ACTION,MODIFIED_DT,Shape_Length,Shape_Area,sum_Area_SQUAREKILOMETERS,Fut_no_green,Green Count,Total Stops,Service Coverage,SS_Ser Cov Future
Residential,1,PKD,PARKDALE,CENTRE,ESTABLISHED,1950s,{5EB427B8-3C5A-46ED-8C41-B2964E8A021C},{D89506B0-C5A4-4146-AB0A-BD9B8C487D46},10:05.0,MODIFIED ATTRIBUTE,18:02.0,8347.227699,2658402.091,0.230147528,2,0,2,7.52E-07,0.120274285
Residential,1,PKH,PARKHILL,CENTRE,ESTABLISHED,1950s,{C705BCB9-3E0F-4BC3-AAF7-2862F3DC07AE},{0A50E80C-4400-4608-84CD-CC9512EA055B},10:03.0,MODIFIED ATTRIBUTE,03:49.0,6413.851843,1659284.764,0.030819076,1,0,1,6.03E-07,0.096347962
Residential,1,PKL,PARKLAND,SOUTH,ESTABLISHED,1960s/1970s,{AB60795F-CB78-4EE7-A9FF-C60065873A5B},{138F431A-438A-4FA0-8AC2-5CD118D4F0FD},10:09.0,MODIFIED ATTRIBUTE,52:19.0,10921.40924,4526389.659,0,0,0,0,0,0
Residential,1,PAT,PATTERSON,WEST,ESTABLISHED,1980s/1990s,{F202FDE4-7E4B-486B-BBD5-B65AB7C68B79},{812E40A3-CE29-44F1-B231-CAB75D8E6211},10:22.0,MODIFIED ATTRIBUTE,56:41.0,12446.62437,5173149.512,0,0,0,0,0,0
Residential,1,PEN,PENBROOKE MEADOWS,EAST,ESTABLISHED,1960s/1970s,{53712000-81CB-4F72-AE9A-5039E30DED3C},{1FE3282E-C95B-46C0-A8F5-AC4B07F5A861},10:02.0,MODIFIED ATTRIBUTE,04:44.0,9360.836531,5148260.155,0.239863691,4,0,4,7.77E-07,0.124211831
Residential,1,PIN,PINERIDGE,NORTHEAST,ESTABLISHED,1960s/1970s,{81A24AC1-1600-41E9-9CFC-C70C5E504D1D},{241F1564-A323-46B7-B0B0-769074817FEA},10:13.0,MODIFIED ATTRIBUTE,02:53.0,10340.31686,6680594.76,0.23182701,3,0,3,4.49E-07,0.071790931
Residential,1,POI,POINT MCKAY,CENTRE,ESTABLISHED,1960s/1970s,{B3492D50-F50A-4DC8-918E-448EDAC1D27A},{DA2C236F-FA15-46F6-B8E0-8DD2E27D80F1},10:07.0,MODIFIED ATTRIBUTE,12:03.0,3978.815903,968856.447,0.092321023,1,0,1,1.03E-06,0.165007629
Residential,1,PUM,PUMP HILL,SOUTH,ESTABLISHED,1960s/1970s,{D2DF765E-F575-4D70-BF96-8A2DA3F199BB},{4832D779-9E73-4706-B43C-E230EEC1E892},10:11.0,MODIFIED ATTRIBUTE,02:11.0,6299.052361,2373599.061,0.062600871,2,0,2,8.43E-07,0.134705737
Residential,1,QPK,QUEENS PARK VILLAGE,CENTRE,ESTABLISHED,1950s,{8766D173-1882-43E1-980E-A698E8F3AC7F},{11FA1772-2FEF-40AB-A948-F64BEE5A8910},10:10.0,MODIFIED ATTRIBUTE,11:28.0,5357.947043,1566680.447,0,0,0,0,0,0
Residential,1,QLD,QUEENSLAND,SOUTH,ESTABLISHED,1960s/1970s,{B35B53D7-8939-4C88-8EBC-45C0EA12F2DE},{8707792B-F60C-4696-8E9D-B20F8CB61AE0},10:29.0,MODIFIED ATTRIBUTE,52:19.0,7898.824597,3917230.364,0,0,0,0,0,0
