Community Name,Low Income Index,Seniors Index,Rent Index,Public Transit Index,Total Community Index,Standardized Total Community Index
Temple,301.25,377.5,72.67500000000001,97.5,848.925,0.27617832102037976
Thornecliff,287.5,355.0,126.22500000000001,76.25,844.975,0.2748856654312806
Tuscany,272.5,408.75,58.0,111.25,850.5,0.2766937469831219
Tuxedo Park,135.0,160.0,99.0,53.75,447.75,0.14489196508193636
University Heights,135.0,101.25,110.25,32.5,379.0,0.12239321274002078
Upper Mount Royal,56.25,105.0,33.8625,5.0,200.1125,0.06385145914635644
Valley Ridge,70.0,228.75,12.600000000000001,11.25,322.6,0.10393605445516205
Varsity,360.0,711.25,219.8375,77.5,1368.5875,0.44624025394955374
Walden,112.5,116.25,60.599999999999994,45.0,334.35,0.10778129576450761
West Hillhurst,126.25,221.25,85.85000000000001,28.75,462.1,0.14958806829803076
West Springs,171.25,215.0,45.0,52.5,483.75,0.15667312994461216
Westgate,72.5,145.0,27.912499999999998,26.25,271.6625,0.08726652431092459
Whitehorn,271.25,403.75,63.4375,150.0,888.4375,0.28910896759361526
Wildwood,28.75,120.0,15.2,11.25,175.2,0.05569872943409502
Willow Park,115.0,285.0,34.125,26.25,460.375,0.14902355414836088
Windsor Park,152.5,173.75,138.75,57.5,522.5,0.1693542449009646
Winston Heights/Mountainview,85.0,123.75,57.800000000000004,33.75,300.3,0.09663827733189342
Wolf Willow,0.0,2.5,0.0,2.5,5.0,0.0
Woodbine,141.25,436.25,30.15,31.25,638.9,0.20744667795694965
Woodlands,133.75,307.5,54.45,33.75,529.45,0.17162866422862008
Yorkville,0.0,12.5,0.0,11.25,23.75,0.006136023365976978
