Community Name,Low Income Index,Seniors Index,Public Transit Index,Rent Index
Rosedale,6.354515050167224,19.063545150501675,5.479452054794521,36.0
Rosemont,6.926406926406926,16.017316017316016,7.246376811594203,21.0
Rosscarrock,16.045845272206304,9.025787965616045,23.34494773519164,32.0
Roxboro,0.0,21.686746987951807,0.0,0.0
Royal Oak,8.765112262521589,10.40587219343696,8.01068090787717,43.0
Rundle,11.948790896159316,13.418681839734473,12.549019607843137,23.0
Rutland Park,11.91588785046729,19.39252336448598,8.870967741935484,19.0
Saddle Ridge,7.654422327108558,7.079827621588344,10.974987238386932,28.000000000000004
Sage Hill,5.564472980203317,6.260032102728733,4.781997187060479,28.999999999999996
Sandstone Valley,8.19672131147541,19.84469370146678,8.762886597938143,24.0
Scarboro,0.0,11.881188118811881,10.526315789473683,38.0
Scarboro-Sunalta West,0.0,11.827956989247312,0.0,0.0
Scenic Acres,4.012738853503184,20.82802547770701,5.239179954441914,48.0
Seton,6.545961002785515,7.242339832869081,4.2042042042042045,41.0
Shaganappi,11.89801699716714,6.79886685552408,16.54135338345865,40.0
Shawnee Slopes,10.891089108910892,23.01980198019802,13.636363636363635,36.0
Shawnessy,7.5096631695196026,14.135836554389842,12.714285714285714,33.0
Shepard-Industrial,11.320754716981133,20.754716981132077,0.0,0.0
Sherwood,13.266871165644172,7.285276073619632,8.126410835214449,41.0
Signal Hill,7.576923076923077,20.346153846153847,7.824933687002653,43.0
Silver Springs,6.0093348891481915,20.653442240373394,5.9171597633136095,30.0
Skyview-Ranch,7.536907536907537,5.361305361305361,8.189262966333029,36.0
Somerset,7.03125,11.538461538461538,13.416536661466457,35.0
South Calgary,13.766519823788546,7.599118942731277,7.29483282674772,36.0
Southview,14.193548387096774,17.419354838709676,9.090909090909092,30.0
Southwood,11.074651353568498,12.387202625102542,16.666666666666664,30.0
Springbank Hill,6.300813008130081,9.908536585365853,7.155635062611807,44.0
Spruce Cliff,21.454112038140643,14.302741358760429,12.121212121212121,32.0
St. Andrews Heights,9.66542750929368,18.21561338289963,5.813953488372093,53.0
Strathcona Park,7.320644216691069,16.544655929721817,10.557184750733137,30.0
Sundance,5.578727841501564,15.119916579770596,5.617977528089887,31.0
Sunnyside,13.0,8.625,17.192982456140353,39.0
Taradale,9.103800340328986,7.175269427112877,13.450704225352112,31.0
Temple,11.448931116389549,13.444180522565322,10.07751937984496,34.0
Thornecliff,13.225991949396205,13.456009200690053,10.391822827938672,33.0
Tuscany,5.532994923857868,7.6395939086294415,7.385892116182573,32.0
Tuxedo Park,10.454985479186835,11.132623426911907,11.497326203208557,30.0
University Heights,18.21247892074199,12.647554806070826,11.818181818181817,45.0
Upper Mount Royal,8.226691042047532,14.80804387568556,2.5477707006369426,43.0
Valley Ridge,5.21901211556384,15.936626281453867,2.9605263157894735,56.00000000000001
Varsity,11.960132890365449,19.6843853820598,9.267563527653214,43.0
Walden,5.88235294117647,5.228758169934641,5.999999999999999,48.0
West Hillhurst,7.611152976639035,12.132629992464206,5.721393034825871,34.0
West Springs,5.92560553633218,6.963667820069204,7.035175879396985,40.0
Westgate,8.992248062015504,14.883720930232558,9.417040358744396,28.999999999999996
Whitehorn,9.788001804239963,13.892647722147045,15.18987341772152,25.0
Wildwood,4.159132007233273,15.913200723327305,5.769230769230769,38.0
Willow Park,9.037328094302556,18.958742632612964,7.420494699646643,30.0
Windsor Park,13.83219954648526,13.378684807256235,12.568306010928962,37.0
Winston Heights/Mountainview,9.43134535367545,12.066574202496533,11.25,34.0
Wolf Willow,0.0,1.9047619047619049,3.4482758620689653,0.0
Woodbine,6.460834762721555,19.039451114922812,4.798464491362764,36.0
Woodlands,9.176672384219554,19.725557461406517,7.6923076923076925,33.0
Yorkville,0.0,6.993006993006993,15.254237288135593,0.0
