,Community,Blue Trips,Blue Freq,Red Trips,Red Freq,Teal Trips,Teal Freq,Orange Trips,Orange Freq,Yellow Trips,Yellow Freq,Purple Trips,Purple Freq,Population,Total Freq,Sum Train Capacity,Sum Bus Capacity,Capacity Index,SS Freq,SS Cap
68,Rocky Ridge,0,0.0,444,6.7,0,0.0,0,0.0,0,0.0,0,0.0,20780,13.4,266400,0,12.820019249278152,0.0,0.029648166899839904
69,Rosedale,0,0.0,0,0.0,0,0.0,98,7.0833,0,0.0,0,0.0,3675,14.17926387376434,0,6370,1.7333333333333334,0.012663873764338961,0.0036262364116047955
70,Rosscarrock,193,8.9333,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,10325,17.940386144737534,115800,0,11.21549636803874,0.0737861447375376,0.02588213770058695
71,Rundle,193,8.9333,0,0.0,0,0.0,98,7.0833,0,0.0,0,0.0,430,32.34101175662103,115800,6370,284.1162790697674,0.3078117566210287,0.666416671779534
72,Rutland Park,0,0.0,0,0.0,65,15.6923,0,0.0,0,0.0,0,0.0,5985,31.681697187714754,0,4225,0.7059314954051796,0.29709718771475396,0.0012147872722726087
73,Saddle Ridge,193,8.9333,0,0.0,0,0.0,98,7.0833,0,0.0,0,0.0,7230,32.34101175662103,115800,6370,16.89764868603043,0.3078117566210287,0.039218907025827
74,Scarboro-Sunalta West,0,0.0,0,0.0,0,0.0,0,0.0,75,9.75,0,0.0,1680,19.6007691494423,0,4875,2.9017857142857144,0.10076914944230056,0.006368749987481134
75,Scenic Acres,0,0.0,444,6.7,0,0.0,0,0.0,0,0.0,0,0.0,2860,13.4,266400,0,93.14685314685315,0.0,0.21818595933576554
76,Shaganappi,193,8.9333,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,6575,17.940386144737534,115800,0,17.61216730038023,0.0737861447375376,0.040895977509840614
77,Shawnee Slopes,0,0.0,444,6.7,0,0.0,0,0.0,0,0.0,0,0.0,7240,13.4,266400,0,36.79558011049724,0.0,0.08592200588808231
78,Shawnessy,0,0.0,444,6.7,0,0.0,0,0.0,0,0.0,0,0.0,2715,13.4,266400,0,98.12154696132596,0.0,0.22986222919872693
79,Signal Hill,193,8.9333,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2100,17.940386144737534,115800,0,55.142857142857146,0.0737861447375376,0.1289855120795784
80,Somerset,0,0.0,444,6.7,0,0.0,0,0.0,0,0.0,0,0.0,1055,13.4,266400,0,252.51184834123222,0.0,0.5922368577419233
81,Southview,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,127,20.5172,7360,41.49090737431939,0,8255,1.1216032608695652,0.45650737431939525,0.002190424344418745
82,Southwood,0,0.0,444,6.7,0,0.0,0,0.0,0,0.0,0,0.0,7805,13.4,266400,0,34.1319666880205,0.0,0.07967014993647327
83,Springbank Hill,193,8.9333,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,9115,17.940386144737534,115800,0,12.704333516182118,0.0737861447375376,0.02937663705512986
84,St. Andrews Heights,0,0.0,0,0.0,0,0.0,98,7.0833,0,0.0,0,0.0,6960,14.17926387376434,0,6370,0.9152298850574713,0.012663873764338961,0.0017060385071433078
85,Sunalta,193,8.9333,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,11540,17.940386144737534,115800,0,10.034662045060658,0.0737861447375376,0.023110562055383043
86,Sunnyside,0,0.0,444,6.7,0,0.0,0,0.0,0,0.0,0,0.0,4105,13.4,266400,0,64.89646772228988,0.0,0.15187853695929363
87,Taradale,193,8.9333,0,0.0,0,0.0,98,7.0833,0,0.0,0,0.0,2205,32.34101175662103,115800,6370,55.40589569160998,0.3078117566210287,0.12960289863524227
88,Temple,0,0.0,0,0.0,0,0.0,98,7.0833,0,0.0,0,0.0,5475,14.17926387376434,0,6370,1.1634703196347032,0.012663873764338961,0.002288691915196268
89,Tuscany,0,0.0,444,6.7,0,0.0,0,0.0,0,0.0,0,0.0,2470,13.4,266400,0,107.85425101214575,0.0,0.25270618366746084
90,Tuxedo Park,0,0.0,0,0.0,0,0.0,98,7.0833,0,0.0,0,0.0,13120,14.17926387376434,0,6370,0.48551829268292684,0.012663873764338961,0.0006974480887318486
91,University Heights,0,0.0,444,6.7,0,0.0,98,7.0833,0,0.0,0,0.0,4130,27.800625611883493,266400,6370,66.046004842615,0.23402561188349108,0.15457665389572864
92,Varsity,0,0.0,444,6.7,0,0.0,98,7.0833,0,0.0,0,0.0,1805,27.800625611883493,266400,6370,151.1191135734072,0.23402561188349108,0.35425458638111756
93,Westgate,193,8.9333,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,7920,17.940386144737534,115800,0,14.621212121212121,0.0737861447375376,0.03387580679734628
94,Whitehorn,193,8.9333,0,0.0,0,0.0,98,7.0833,0,0.0,0,0.0,7030,32.34101175662103,115800,6370,17.37837837837838,0.3078117566210287,0.04034724372921623
95,"Whitehorn
",193,8.9333,0,0.0,0,0.0,98,7.0833,0,0.0,0,0.0,4900,32.34101175662103,115800,6370,24.93265306122449,0.3078117566210287,0.05807813393179155
96,Willow Park,0,0.0,444,6.7,0,0.0,0,0.0,0,0.0,0,0.0,10145,13.4,266400,0,26.25924100542139,0.0,0.06119181276531704
97,Winston Heights/Mountview,0,0.0,0,0.0,0,0.0,98,7.0833,0,0.0,0,0.0,5640,14.17926387376434,0,6370,1.1294326241134751,0.012663873764338961,0.0022088009041630013
98,Woodbine,0,0.0,0,0.0,0,0.0,0,0.0,75,9.75,0,0.0,8100,19.6007691494423,0,4875,0.6018518518518519,0.10076914944230056,0.0009704984676362437
99,Woodlands,0,0.0,0,0.0,0,0.0,0,0.0,75,9.75,0,0.0,1590,19.6007691494423,0,4875,3.0660377358490565,0.10076914944230056,0.006754271388563338
