Community Name,Z Score
Abbeydale,0.2727768007324165
Acadia,0.40385475960437694
Albert Park/Radisson Heights,0.3648172005716699
Altadore,0.2239334449298783
Applewood Park,0.2988070512993143
Arbour Lake,0.3125677075216096
Aspen Woods,0.21454203304402467
Auburn Bay,0.31023268941762233
Banff Trail,0.3558862875941208
Bankview,0.3540088425673779
Bayview,0.07756871306990598
Beddington Heights,0.34513574563460636
Bel-Aire,0.08165837585038276
Belmont,0.1636790863611163
Beltline,1.0
Bonavista Downs,0.1907208954642816
Bowness,0.41821273912905027
Braeside,0.2711356825947459
Brentwood,0.3558224988206482
Bridgeland/Riverside,0.3570187413861457
Bridlewood,0.32270799668531586
Britannia,0.10265588412177883
Cambrian Heights,0.2094262950876599
Canyon Meadows,0.2919072344028383
Capitol Hill,0.30604173553970165
Carrington,0.1833517253352719
Castleridge,0.28333659656729954
Cedarbrae,0.27218919927173874
Chaparral,0.25475665519214824
Charleswood,0.21937158443156438
Chinatown,0.29734835112797897
Chinook Park,0.1799683098578823
Christie Park,0.17672478198699418
Citadel,0.2795044941425482
Cityscape,0.2264415647121467
Cliff Bungalow,0.24468995789039857
Coach Hill,0.22575599991001077
Collingwood,0.20473264645750539
Copperfield,0.28455786367252683
Coral Springs,0.22780455260757515
Cornerstone,0.2335107266213592
Cougar Ridge,0.2042011100608365
Country Hills,0.22915914255382278
Country Hills Village,0.24817468295815845
Coventry Hills,0.3201971623305545
Cranston,0.32395212940208024
Crescent Heights,0.3359240717667979
Crestmont,0.15109303765473026
Currie Barracks,0.17252956949235196
Dalhousie,0.36254375923779053
Deer Ridge,0.2386526962069395
Deer Run,0.23993184149405644
Diamond Cove,0.16361312988697208
Discovery Ridge,0.20267147264191646
Douglasdale/Glen,0.2921187866026683
Dover,0.42463147434453336
Downtown Commercial Core,0.6116214764033516
Downtown East Village,0.3109806373551215
Downtown West End,0.27003822745544126
Eagle Ridge,0.0
Eau Claire,0.21246040729133894
Edgemont,0.39398638527302193
Elbow Park,0.10644773338945432
Elboya,0.20854726141607882
Erin Woods,0.26772866916619037
Erlton,0.18990925553520513
Evanston,0.29683878306964656
Evergreen,0.3948732057517229
Fairview,0.25255802446042436
Falconridge,0.35252384656427654
Fish Creek Park,0.19177850182623188
Forest Heights,0.30035133599055175
Forest Lawn,0.3811120543044675
Garrison Green,0.17843027419159171
Garrison Woods,0.18205876866237417
Glamorgan,0.33496992630092837
Glenbrook,0.33423987841722164
Glendale,0.21043616369905527
Greenview,0.24614738299327993
Greenwood/Greenbriar,0.22408272165706702
Hamptons,0.2505914213274051
Harvest Hills,0.2575009227793815
Hawkwood,0.2691960945474768
Haysboro,0.3367249425104753
Hidden Valley,0.27165910322437875
Highland Park,0.38938567645842737
Highwood,0.25183671544787156
Hillhurst,0.40324057234389515
Hounsfeild Heights/Briar Hill,0.20887107164858326
Hungtington Hills,0.6488825677303108
Inglewood,0.33895675017105215
Kelvin Groove,0.24383406546947917
Killarney/Glengarry,0.33549526761153886
Kincora,0.2519262523885042
Kingsland,0.316479824012049
Lake Bonavista,0.2699772180009773
Lakeview,0.24416727291738113
Legacy,0.24698082081789222
Lincoln Park,0.25125437624980496
Livingston,0.19210339297154835
Lower Mount Royal,0.2942360586549992
MacEwan Glen,0.22646082184604702
Mahogany,0.24934616704122933
Manchester,0.24630471629789633
Maple Ridge,0.1884600332628102
Marlborough Park,0.35079629433482623
Martindale,0.43399439441687965
Mayfair,0.0615669450748339
Mayland Heights,0.30611348831031654
McKenzie Lake,0.2737107057785182
McKenzie Towne,0.34688160415041586
Meadowlark Park,0.160645246287856
Midnapore,0.2860400569520792
Millirise,0.28094442398698743
Mission,0.30156584316457763
Monterey Park,0.316078729700207
Montgomery,0.24598872853435916
Mount Pleasant,0.2768499584741935
New Brighton,0.2533884512032678
Nolan Hill,0.22485595876916953
North Glenmore Park ,0.20084977134078105
North Haven,0.20800728002667454
North Haven Upper,0.17564957588401509
Oakridge,0.2473179082547455
Ogden,0.3501733123091363
Palliser,0.2610698868266164
Panorama Hills,0.4521651190456867
Parkdale,0.2048672903549419
Parkhill,0.2047673895909356
Parkland,0.2060837245493917
Patterson,0.2607497381417178
Penbrooke Meadows,0.3459489152115461
Pine Creek,
Pineridge,0.3819682816714067
Point McKay,0.20363456132328997
Pump Hill,0.1834851464458217
Queens Park Village,0.20720063354048318
Queensland,0.2424478739348022
Ramsay,0.2137733658704121
Ranchlands,0.29983518737583925
Red Carpet,0.23971506079559302
Redstone,0.2653000713217351
Renfrew,0.2796646258830138
Richmond,0.24956937739206622
Rideau Park,0.14813731384739556
Riverbend,0.26494892801065306
Rocky Ridge,0.2525419298540201
Rosedale,0.1499022911674892
Rosemont,0.1881724327030057
Rosscarrock,0.29436304508099537
Roxboro,0.10789600485814695
Royal Oak,0.31830037942722506
Rundle,0.361132310048029
Rutland Park,0.22828682699925093
Saddle Ridge,0.4678604992518957
Sage Hill,0.252192022706546
Sandstone Valley,0.2624221491459162
Scarboro,0.09557305477616473
Scarboro-Sunalta West,0.1573434588302422
Scenic Acres,0.2490590475694057
Seton,0.2401124503951846
Shaganappi,0.2291096085657583
Shawnee Slopes,0.21652803389474376
Shawnessy,0.31553691306962034
Shepard-Industrial,0.20019620531804908
Sherwood,0.27251377006622146
Signal Hill,0.35899434972621436
Silver Springs,0.28713896638392516
Skyview-Ranch,0.3433741870010665
Somerset,0.30841236693696505
South Calgary,0.2736865023527569
Southview,0.22529202913617163
Southwood,0.3143668183323826
Springbank Hill,0.25814467990178835
Spruce Cliff,0.30983512587455414
St. Andrews Heights,0.1926878512907092
Strathcona Park,0.2484881190952693
Sundance,0.26421645787800424
Sunnyside,0.31540022134267115
Taradale,0.4248896811080039
Temple,0.35177811238302953
Thornecliff,0.35819108073503386
Tuscany,0.34117142646531734
Tuxedo Park,0.2886009434672201
University Heights,0.2817569511060748
Upper Mount Royal,0.1611643672539148
