,Community,Blue Trips,Blue Freq,Red Trips,Red Freq,Green Trips,Green Freq,Teal Trips,Teal Freq,Orange Trips,Orange Freq,Yellow Trips,Yellow Freq,Purple Trips,Purple Freq,East Gray Trips,East Gray Freq,West Gray Trips,West Gray Freq,Future Brentwood Trips,Future Brentwood Freq,Future Tuscany Trips,Future Tuscany Freq,Population,Total Freq,Sum Train Capacity,Sum Bus Capacity,Capacity Index,SS Freq,SS Cap
86,North Glenmore Park,0,0.0,0,0.0,0,0.0,65,15.6923,0,0.0,75,9.75,0,0.0,65,15.6923,65,15.6923,65,15.6923,65,15.6923,4105,88.2115,0,26000,6.33373934226553,0.9294079221169195,0.005688917911995656
87,Oakridge,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,75,9.75,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2205,9.75,0,4875,2.2108843537414966,0.10272727751642319,0.0019858000024440617
88,Ogden  ,0,0.0,0,0.0,444,6.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,5475,6.7,266400,0,48.657534246575345,0.07059207788308056,0.043703837996887346
89,Palliser,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,75,9.75,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2470,9.75,0,4875,1.9736842105263157,0.10272727751642319,0.001772748585177796
90,Panorama Hills  ,0,0.0,0,0.0,444,6.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,13120,6.7,266400,0,20.304878048780488,0.07059207788308056,0.018237691542146203
91,Parkdale   ,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,4130,0.0,0,0,0.0,0.0,0.0
92,Parkhill,0,0.0,444,6.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1805,6.7,266400,0,147.59002770083103,0.07059207788308056,0.1325642731484533
93,Penbrooke Meadows,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,127,20.5172,0,0.0,0,0.0,0,0.0,0,0.0,7920,20.5172,0,8255,1.04229797979798,0.21617190751384183,0.0009361843496370755
94,Pineridge,0,0.0,0,0.0,0,0.0,0,0.0,98,7.0833,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,7030,7.0833,0,6370,0.9061166429587483,0.0746305769058544,0.0008138672783843287
95,Point McKay  ,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,4900,0.0,0,0,0.0,0.0,0.0
96,Pump Hill,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,75,9.75,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,10145,9.75,0,4875,0.48053228191227204,0.10272727751642319,0.00043161054759873396
97,Quarry Park,0,0.0,0,0.0,444,6.7,65,15.6923,0,0.0,0,0.0,0,0.0,65,15.6923,65,15.6923,65,15.6923,65,15.6923,5640,85.1615,266400,21125,50.979609929078016,0.8972727224835768,0.045789509229842415
98,Queens Park Village,0,0.0,0,0.0,444,6.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,8100,6.7,266400,0,32.888888888888886,0.07059207788308056,0.029540557164562737
99,Ramsay,0,0.0,0,0.0,444,6.7,0,0.0,0,0.0,0,0.0,127,20.5172,0,0.0,0,0.0,0,0.0,0,0.0,1590,27.2172,266400,8255,172.73899371069183,0.2867639853969224,0.15515288873087033
100,Recreational   ,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3985,0.0,0,0,0.0,0.0,0.0
101,Redstone,193,8.9333,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2990,8.9333,115800,0,38.72909698996656,0.09412241930640648,0.03478618895971627
102,Renfrew,0,0.0,0,0.0,0,0.0,0,0.0,98,7.0833,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,4740,7.0833,0,6370,1.3438818565400843,0.0746305769058544,0.001207064760979289
103,Richmond,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,75,9.75,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,13860,9.75,0,4875,0.35173160173160173,0.10272727751642319,0.00031592272766155525
104,Riverbend,0,0.0,0,0.0,444,6.7,65,15.6923,0,0.0,0,0.0,0,0.0,65,15.6923,65,15.6923,65,15.6923,65,15.6923,950,85.1615,266400,21125,302.6578947368421,0.8972727224835768,0.2718450863750644
105,Rocky Ridge,0,0.0,444,6.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1830,6.7,266400,0,145.5737704918033,0.07059207788308056,0.13075328581035967
106,Rosedale,0,0.0,0,0.0,0,0.0,0,0.0,98,7.0833,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,8910,7.0833,0,6370,0.7149270482603816,0.0746305769058544,0.0006421421960765241
107,Rosscarrock,193,8.9333,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,14540,8.9333,115800,0,7.9642365887207704,0.09412241930640648,0.007153418499969164
108,Royal Oak   ,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,410,0.0,0,0,0.0,0.0,0.0
109,Rundle,193,8.9333,0,0.0,0,0.0,0,0.0,98,7.0833,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,5925,16.0166,115800,6370,20.61940928270042,0.1687529962122609,0.018520201174108603
110,Rutland Park,0,0.0,0,0.0,0,0.0,65,15.6923,0,0.0,0,0.0,0,0.0,65,15.6923,65,15.6923,65,15.6923,65,15.6923,13290,78.4615,0,21125,1.5895410082769,0.8266806446004963,0.0014277139972425138
111,Saddle Ridge,193,8.9333,0,0.0,0,0.0,0,0.0,98,7.0833,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,17505,16.0166,115800,6370,6.979148814624393,0.1687529962122609,0.006268619934681147
112,Sage Hill  ,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,610,0.0,0,0,0.0,0.0,0.0
113,Scarboro-Sunalta West,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,75,9.75,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,6480,9.75,0,4875,0.7523148148148148,0.10272727751642319,0.0006757236119427709
114,Scenic Acres,0,0.0,444,6.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,6655,6.7,266400,0,40.030052592036064,0.07059207788308056,0.035954697675876515
115,Seton,0,0.0,0,0.0,444,6.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,4505,6.7,266400,0,59.13429522752497,0.07059207788308056,0.0531139873547077
116,Shaganappi,193,8.9333,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,10475,8.9333,115800,0,11.05489260143198,0.09412241930640648,0.009929422910697054
117,Shawnee Slopes,0,0.0,444,6.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,4175,6.7,266400,0,63.808383233532936,0.07059207788308056,0.05731221869052891
118,Shawnessy,0,0.0,444,6.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,6325,6.7,266400,0,42.11857707509881,0.07059207788308056,0.03783059494592224
119,Signal Hill,193,8.9333,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,12885,8.9333,115800,0,8.987194412107101,0.09412241930640648,0.008072231663915533
